dataM1,dataM2,dataM3
-0,0,0
-0,0,0.0833333333333333
-0,0,0.166666666666667
-0,0,0.25
-0,0,0.333333333333333
-0,-0,0.416666666666667
-0,-0,0.5
-0,-0,0.583333333333333
-0,-0,0.666666666666667
-0,-0,0.75
0,-0,0.833333333333333
0,-0,0.916666666666667
0,-0,1
0,-0,1.08333333333333
0,0,1.16666666666667
0,0,1.25
0,0,1.33333333333333
0,0,1.41666666666667
0,0,1.5
-0,0,1.58333333333333
-0,0,1.66666666666667
-0,0,1.75
-0,0,1.83333333333333
-0,-0,1.91666666666667
-0,-0,2
-0,-0,2.08333333333333
-0,-0,2.16666666666667
-0,-0,2.25
0,-0,2.33333333333333
0,-0,2.41666666666667
0,-0,2.5
0,-0,2.58333333333333
0,0,2.66666666666667
0,0,2.75
0,0,2.83333333333333
0,0,2.91666666666667
0,0,3
-0,0,3.08333333333333
-0,0,3.16666666666667
-0,0,3.25
-0,0,3.33333333333333
-0,-0,3.41666666666667
-0,-0,3.5
-0,-0,3.58333333333333
-0,-0,3.66666666666667
-0,-0,3.75
0,-0,3.83333333333333
0,-0,3.91666666666667
0,-0,4
0,-0,4.08333333333333
0,0,4.16666666666667
0,0,4.25
0,0,4.33333333333333
0,0,4.41666666666667
0,0,4.5
-0,0,4.58333333333333
-0,0,4.66666666666667
-0,0,4.75
-0,0,4.83333333333333
-0,-0,4.91666666666667
-0,-0,5
-0,-0,5.08333333333333
-0,-0,5.16666666666667
-0,-0,5.25
0,-0,5.33333333333333
0,-0,5.41666666666667
0,-0,5.5
0,-0,5.58333333333333
0,0,5.66666666666667
0,0,5.75
0,0,5.83333333333333
0,0,5.91666666666667
0,0,6
-0,0,6.08333333333333
-0,0,6.16666666666667
-0,0,6.25
-0,0,6.33333333333333
-0,-0,6.41666666666667
-0,-0,6.5
-0,-0,6.58333333333333
-0,-0,6.66666666666667
-0,-0,6.75
0,-0,6.83333333333333
0,-0,6.91666666666667
0,-0,7
0,-0,7.08333333333333
0,0,7.16666666666667
0,0,7.25
0,0,7.33333333333333
0,0,7.41666666666667
0,0,7.5
-0,0,7.58333333333333
-0,0,7.66666666666667
-0,0,7.75
-0,0,7.83333333333333
-0,-0,7.91666666666667
-0,-0,8
-0,-0,8.08333333333333
-0,-0,8.16666666666667
-0,-0,8.25
0,-0,8.33333333333333
0,-0,8.41666666666667
0,-0,8.5
0,-0,8.58333333333333
0,0,8.66666666666667
0,0,8.75
0,0,8.83333333333333
0,0,8.91666666666667
0,0,9
-0,0,9.08333333333333
-0,0,9.16666666666667
-0,0,9.25
-0,0,9.33333333333333
-0,-0,9.41666666666667
-0,-0,9.5
-0,-0,9.58333333333333
-0,-0,9.66666666666667
-0,-0,9.75
0,-0,9.83333333333333
0,-0,9.91666666666667
0,-0,10
0,-0,10.0833333333333
0,0,10.1666666666667
0,0,10.25
0,0,10.3333333333333
0,0,10.4166666666667
0,0,10.5
-0,0,10.5833333333333
-0,0,10.6666666666667
-0,0,10.75
-0,0,10.8333333333333
-0,-0,10.9166666666667
-0,-0,11
-0,-0,11.0833333333333
-0,-0,11.1666666666667
-0,-0,11.25
0,-0,11.3333333333333
0,-0,11.4166666666667
0,-0,11.5
0,-0,11.5833333333333
0,0,11.6666666666667
0,0,11.75
0,0,11.8333333333333
0,0,11.9166666666667
0,0,12
-0,0,12.0833333333333
-0,0,12.1666666666667
-0,0,12.25
-0,0,12.3333333333333
-0,-0,12.4166666666667
-0,-0,12.5
-0,-0,12.5833333333333
-0,-0,12.6666666666667
-0,-0,12.75
0,-0,12.8333333333333
0,-0,12.9166666666667
0,-0,13
0,-0,13.0833333333333
0,0,13.1666666666667
0,0,13.25
0,0,13.3333333333333
0,0,13.4166666666667
